n;max_key;number_of_run;total_time;average_time;average_time_insert;average_time_search;average_time_delete;total_time_insert;total_time_search;total_time_delete;Ologn
206000;10000;1;66.593000;66.593000;23.155000;22.460000;20.978000;23.155000;22.460000;20.978000;5.313867
207000;10000;1;66.390000;66.390000;23.153000;22.613000;20.624000;23.153000;22.613000;20.624000;5.315970
208000;10000;1;72.590000;72.590000;23.592000;23.987000;25.011000;23.592000;23.987000;25.011000;5.318063
209000;10000;1;68.167000;68.167000;23.618000;23.427000;21.122000;23.618000;23.427000;21.122000;5.320146
210000;10000;1;67.589000;67.589000;23.865000;22.717000;21.007000;23.865000;22.717000;21.007000;5.322219
211000;10000;1;72.649000;72.649000;26.523000;24.307000;21.819000;26.523000;24.307000;21.819000;5.324283
212000;10000;1;70.555000;70.555000;24.725000;23.576000;22.254000;24.725000;23.576000;22.254000;5.326336
213000;10000;1;71.416000;71.416000;25.042000;24.539000;21.835000;25.042000;24.539000;21.835000;5.328380
214000;10000;1;72.928000;72.928000;25.906000;24.960000;22.062000;25.906000;24.960000;22.062000;5.330414
215000;10000;1;75.034000;75.034000;26.517000;25.110000;23.407000;26.517000;25.110000;23.407000;5.332438
216000;10000;1;72.465000;72.465000;25.408000;24.957000;22.100000;25.408000;24.957000;22.100000;5.334454
217000;10000;1;73.067000;73.067000;26.454000;24.216000;22.397000;26.454000;24.216000;22.397000;5.336460
218000;10000;1;71.435000;71.435000;24.843000;24.495000;22.097000;24.843000;24.495000;22.097000;5.338457
219000;10000;1;74.499000;74.499000;25.946000;25.796000;22.757000;25.946000;25.796000;22.757000;5.340444
220000;10000;1;71.366000;71.366000;25.202000;23.881000;22.283000;25.202000;23.881000;22.283000;5.342422
221000;10000;1;73.501000;73.501000;25.090000;25.362000;23.049000;25.090000;25.362000;23.049000;5.344392
222000;10000;1;72.287000;72.287000;25.756000;24.371000;22.160000;25.756000;24.371000;22.160000;5.346353
223000;10000;1;73.642000;73.642000;25.915000;25.081000;22.646000;25.915000;25.081000;22.646000;5.348305
224000;10000;1;73.093000;73.093000;25.508000;25.187000;22.398000;25.508000;25.187000;22.398000;5.350248
225000;10000;1;74.578000;74.578000;26.266000;24.764000;23.548000;26.266000;24.764000;23.548000;5.352182
226000;10000;1;74.290000;74.290000;25.206000;25.012000;24.072000;25.206000;25.012000;24.072000;5.354108
227000;10000;1;76.324000;76.324000;27.013000;26.093000;23.218000;27.013000;26.093000;23.218000;5.356026
228000;10000;1;71.630000;71.630000;24.667000;25.301000;21.662000;24.667000;25.301000;21.662000;5.357935
229000;10000;1;72.092000;72.092000;25.441000;24.154000;22.497000;25.441000;24.154000;22.497000;5.359836
230000;10000;1;72.798000;72.798000;25.641000;24.360000;22.797000;25.641000;24.360000;22.797000;5.361728
231000;10000;1;73.488000;73.488000;25.761000;25.155000;22.572000;25.761000;25.155000;22.572000;5.363612
232000;10000;1;71.398000;71.398000;24.526000;24.279000;22.593000;24.526000;24.279000;22.593000;5.365488
233000;10000;1;77.890000;77.890000;27.248000;27.268000;23.374000;27.248000;27.268000;23.374000;5.367356
234000;10000;1;74.653000;74.653000;26.547000;24.679000;23.427000;26.547000;24.679000;23.427000;5.369216
235000;10000;1;79.132000;79.132000;27.784000;27.586000;23.762000;27.784000;27.586000;23.762000;5.371068
236000;10000;1;75.687000;75.687000;26.262000;26.082000;23.343000;26.262000;26.082000;23.343000;5.372912
237000;10000;1;82.802000;82.802000;30.717000;27.886000;24.199000;30.717000;27.886000;24.199000;5.374748
238000;10000;1;74.180000;74.180000;26.020000;24.799000;23.361000;26.020000;24.799000;23.361000;5.376577
239000;10000;1;76.276000;76.276000;26.297000;26.050000;23.929000;26.297000;26.050000;23.929000;5.378398
240000;10000;1;76.771000;76.771000;27.367000;25.539000;23.865000;27.367000;25.539000;23.865000;5.380211
241000;10000;1;77.811000;77.811000;26.778000;26.487000;24.546000;26.778000;26.487000;24.546000;5.382017
242000;10000;1;76.980000;76.980000;27.447000;25.450000;24.083000;27.447000;25.450000;24.083000;5.383815
243000;10000;1;77.349000;77.349000;28.347000;26.011000;22.991000;28.347000;26.011000;22.991000;5.385606
244000;10000;1;83.240000;83.240000;28.224000;27.773000;27.243000;28.224000;27.773000;27.243000;5.387390
245000;10000;1;87.714000;87.714000;32.933000;29.111000;25.670000;32.933000;29.111000;25.670000;5.389166
246000;10000;1;83.563000;83.563000;28.609000;27.978000;26.976000;28.609000;27.978000;26.976000;5.390935
247000;10000;1;83.688000;83.688000;29.525000;28.756000;25.407000;29.525000;28.756000;25.407000;5.392697
248000;10000;1;81.727000;81.727000;27.739000;27.743000;26.245000;27.739000;27.743000;26.245000;5.394452
249000;10000;1;88.523000;88.523000;34.261000;29.176000;25.086000;34.261000;29.176000;25.086000;5.396199
250000;10000;1;80.171000;80.171000;28.088000;27.493000;24.590000;28.088000;27.493000;24.590000;5.397940
251000;10000;1;82.105000;82.105000;28.862000;28.330000;24.913000;28.862000;28.330000;24.913000;5.399674
252000;10000;1;81.911000;81.911000;29.386000;27.703000;24.822000;29.386000;27.703000;24.822000;5.401401
253000;10000;1;84.870000;84.870000;29.852000;29.426000;25.592000;29.852000;29.426000;25.592000;5.403121
254000;10000;1;85.380000;85.380000;29.920000;29.513000;25.947000;29.920000;29.513000;25.947000;5.404834
255000;10000;1;85.164000;85.164000;29.942000;29.362000;25.860000;29.942000;29.362000;25.860000;5.406540
256000;10000;1;85.586000;85.586000;29.722000;29.970000;25.894000;29.722000;29.970000;25.894000;5.408240
257000;10000;1;88.556000;88.556000;30.698000;30.734000;27.124000;30.698000;30.734000;27.124000;5.409933
258000;10000;1;81.706000;81.706000;28.282000;28.317000;25.107000;28.282000;28.317000;25.107000;5.411620
